name,n_nodes,p_f,seed,n_shells,max_shell,mean_degree,shell_sizes
NCP1/p_f=0.37/n=1000/seed=111,1000,0.37,111,9,9,5.592,"{""9"": 19, ""6"": 42, ""7"": 71, ""8"": 25, ""3"": 177, ""4"": 125, ""2"": 211, ""5"": 84, ""1"": 246}"
NCP1/p_f=0.37/n=1000/seed=112,1000,0.37,112,13,13,7.102,"{""13"": 47, ""10"": 33, ""9"": 19, ""11"": 18, ""5"": 81, ""4"": 95, ""8"": 25, ""3"": 180, ""12"": 5, ""6"": 42, ""7"": 32, ""2"": 174, ""1"": 249}"
NCP1/p_f=0.37/n=1000/seed=113,1000,0.37,113,10,10,6.688,"{""9"": 83, ""8"": 48, ""3"": 177, ""10"": 14, ""6"": 57, ""5"": 63, ""7"": 39, ""2"": 186, ""4"": 90, ""1"": 243}"
NCP1/p_f=0.37/n=1000/seed=114,1000,0.37,114,11,11,6.976,"{""10"": 38, ""9"": 31, ""8"": 67, ""11"": 19, ""6"": 66, ""4"": 85, ""7"": 47, ""3"": 122, ""5"": 86, ""1"": 269, ""2"": 170}"
NCP1/p_f=0.37/n=1000/seed=115,1000,0.37,115,12,12,6.252,"{""12"": 31, ""11"": 11, ""10"": 6, ""8"": 32, ""7"": 42, ""6"": 60, ""9"": 16, ""5"": 56, ""4"": 124, ""3"": 148, ""2"": 211, ""1"": 263}"
NCP1/p_f=0.37/n=1000/seed=116,1000,0.37,116,11,11,6.672,"{""11"": 65, ""8"": 48, ""7"": 38, ""5"": 62, ""9"": 14, ""4"": 83, ""3"": 171, ""1"": 253, ""2"": 220, ""10"": 18, ""6"": 28}"
NCP1/p_f=0.37/n=1000/seed=117,1000,0.37,117,11,11,6.636,"{""11"": 37, ""10"": 39, ""6"": 37, ""7"": 51, ""2"": 201, ""9"": 24, ""5"": 64, ""8"": 35, ""4"": 133, ""3"": 146, ""1"": 233}"
NCP1/p_f=0.37/n=1000/seed=118,1000,0.37,118,11,11,6.852,"{""9"": 51, ""11"": 64, ""7"": 24, ""6"": 38, ""3"": 157, ""8"": 30, ""10"": 7, ""4"": 119, ""2"": 189, ""5"": 90, ""1"": 231}"
NCP1/p_f=0.37/n=1000/seed=119,1000,0.37,119,12,12,6.624,"{""12"": 54, ""11"": 18, ""9"": 25, ""8"": 28, ""6"": 54, ""3"": 139, ""7"": 14, ""5"": 85, ""4"": 113, ""2"": 204, ""1"": 263, ""10"": 3}"
NCP1/p_f=0.37/n=2000/seed=120,2000,0.37,120,11,11,6.719,"{""11"": 71, ""5"": 153, ""9"": 44, ""10"": 82, ""2"": 415, ""6"": 99, ""7"": 74, ""4"": 182, ""8"": 69, ""1"": 529, ""3"": 282}"
NCP1/p_f=0.37/n=2000/seed=121,2000,0.37,121,11,11,6.219,"{""10"": 35, ""11"": 47, ""9"": 22, ""8"": 109, ""6"": 72, ""3"": 313, ""7"": 93, ""4"": 210, ""5"": 154, ""2"": 434, ""1"": 511}"
NCP1/p_f=0.37/n=2000/seed=122,2000,0.37,122,12,12,6.803,"{""12"": 62, ""10"": 41, ""11"": 31, ""7"": 82, ""9"": 52, ""6"": 143, ""5"": 136, ""8"": 54, ""4"": 254, ""3"": 287, ""1"": 481, ""2"": 377}"
NCP1/p_f=0.37/n=2000/seed=123,2000,0.37,123,12,12,6.158,"{""12"": 51, ""11"": 68, ""9"": 34, ""10"": 18, ""8"": 32, ""6"": 72, ""3"": 318, ""7"": 54, ""5"": 134, ""2"": 466, ""4"": 246, ""1"": 507}"
NCP1/p_f=0.37/n=2000/seed=124,2000,0.37,124,16,16,7.362,"{""16"": 58, ""14"": 15, ""12"": 31, ""10"": 27, ""8"": 45, ""2"": 438, ""15"": 22, ""5"": 110, ""13"": 24, ""4"": 198, ""9"": 49, ""3"": 331, ""7"": 43, ""11"": 25, ""6"": 119, ""1"": 465}"
NCP1/p_f=0.37/n=2000/seed=125,2000,0.37,125,11,11,6.356,"{""11"": 51, ""9"": 57, ""7"": 111, ""8"": 38, ""10"": 19, ""6"": 127, ""5"": 211, ""3"": 316, ""4"": 193, ""2"": 383, ""1"": 494}"
NCP1/p_f=0.37/n=2000/seed=126,2000,0.37,126,12,12,6.602,"{""12"": 69, ""6"": 158, ""9"": 28, ""8"": 64, ""7"": 86, ""10"": 23, ""5"": 164, ""3"": 299, ""4"": 245, ""2"": 352, ""11"": 9, ""1"": 503}"
NCP1/p_f=0.37/n=2000/seed=127,2000,0.37,127,14,14,6.754,"{""14"": 40, ""10"": 38, ""13"": 30, ""11"": 6, ""6"": 117, ""8"": 74, ""9"": 31, ""7"": 80, ""5"": 136, ""4"": 233, ""3"": 314, ""2"": 419, ""1"": 479, ""12"": 3}"
NCP1/p_f=0.37/n=2000/seed=128,2000,0.37,128,16,16,7.168,"{""16"": 38, ""15"": 14, ""12"": 15, ""10"": 38, ""13"": 10, ""7"": 95, ""9"": 51, ""6"": 114, ""14"": 29, ""3"": 303, ""4"": 173, ""8"": 72, ""5"": 122, ""1"": 506, ""11"": 16, ""2"": 404}"
NCP1/p_f=0.37/n=2000/seed=129,2000,0.37,129,14,14,7.241,"{""14"": 62, ""11"": 22, ""8"": 66, ""9"": 63, ""10"": 33, ""7"": 69, ""13"": 17, ""12"": 20, ""5"": 150, ""4"": 252, ""2"": 417, ""6"": 84, ""3"": 281, ""1"": 464}"
NCP1/p_f=0.37/n=2000/seed=130,2000,0.37,130,14,14,6.956,"{""10"": 46, ""14"": 37, ""12"": 48, ""11"": 15, ""13"": 13, ""7"": 86, ""8"": 37, ""9"": 43, ""6"": 102, ""4"": 257, ""2"": 439, ""3"": 297, ""5"": 122, ""1"": 458}"
NCP1/p_f=0.37/n=2000/seed=131,2000,0.37,131,11,11,6.794,"{""11"": 87, ""7"": 110, ""9"": 59, ""10"": 28, ""8"": 61, ""4"": 222, ""6"": 98, ""5"": 150, ""2"": 399, ""3"": 301, ""1"": 485}"
