lr,seed,a,b,regime,ell_c,source_leaf,target_leaf,distance_d,t_flip,warmup_ok,depth,leaf_size,p,d_param
0.01,2,0.5,0.01,I,5,0,5,3,146,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,6,3,146,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,7,3,141,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,8,4,158,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,9,4,159,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,10,4,155,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,11,4,157,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,12,4,146,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,13,4,151,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,14,4,146,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,15,4,147,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,16,5,182,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,17,5,183,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,18,5,182,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,19,5,180,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,20,5,181,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,21,5,181,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,22,5,179,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,23,5,179,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,24,5,181,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,25,5,183,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,26,5,183,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,27,5,180,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,28,5,186,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,29,5,186,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,30,5,187,True,5,4,4.0,1
0.01,2,0.5,0.01,I,5,0,31,5,187,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,1,1,51,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,2,2,124,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,3,2,120,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,4,3,137,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,5,3,141,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,6,3,139,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,7,3,141,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,8,4,143,True,5,4,4.0,1
0.05,0,0.5,0.01,I,5,0,9,4,142,True,5,4,4.0,1
